Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,New Zealand,NZL,49.0916580075149,49.054049294281,49.045556584335,49.0433317304906,49.0232907312156,48.9881268811486,48.9534155442923,48.9276782106051,48.915941100957,48.9130086179369,48.9065277481871,48.8968835284937,48.8941755224834,48.9219088293739,48.9812026285971,49.0464406535979,49.1087022697335,49.1659734881334,49.2625646736217,49.4396892620619,49.5512368475596,49.5613119372629,49.5694935363282,49.5767295958379
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Nicaragua,NIC,49.3531609600365,49.3360953819584,49.3178748987927,49.2988621962322,49.279485828938,49.2696544140644,49.2692607396528,49.2691066692846,49.2690599295608,49.2690670825189,49.2692974100258,49.2698171980965,49.2705626481712,49.2715192178814,49.2728079223332,49.2746639807779,49.2774330573222,49.2809078020138,49.2840409036016,49.2852559542996,49.2806208503833,49.2753855900411,49.2745227960656,49.2738752623714
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Niger,NER,50.3671748260833,50.4014069815475,50.4351818409592,50.4693278473644,50.5000454481355,50.525386783798,50.5482219212473,50.5686281524886,50.5875087147185,50.6061105823294,50.6239569406729,50.6402377071907,50.6557637910291,50.6700861337511,50.6823296741371,50.6908145041237,50.6968276973864,50.7030800828156,50.7104468615884,50.7168949477578,50.7214313485953,50.7237794008899,50.7226597459239,50.7200258443575
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Nigeria,NGA,50.2624117165255,50.2730017352466,50.2834260098232,50.2906851550958,50.2973679241276,50.3027402763294,50.3092369776202,50.319561756054,50.3332088527275,50.3500356631627,50.3665859219035,50.3824224454729,50.3973719220895,50.410854706597,50.4237223600335,50.4378043225284,50.4550423836597,50.4728789947996,50.4896008557953,50.5059371732918,50.5181610647913,50.5278085834548,50.5388137043918,50.5498429540994
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,North Macedonia,MKD,50.3335237220403,50.1780475546707,50.0877835772789,50.0687543393934,50.0540976957176,50.0390154820745,50.0223682471799,50.0071514690749,49.995374424739,49.9833715110679,49.9701981251564,49.9577750025154,49.9478918092974,49.9378036975286,49.92630472462,49.91679166892,49.907070243712,49.8983654667021,49.8910097085817,49.8840683084095,49.87437662003,49.8588904261338,49.8435946902917,49.832836213051
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Northern Mariana Islands,MNP,47.5640419228759,47.8214371091735,48.1856354163967,48.55473513528,48.9290383598988,49.3212604128939,49.7411444141689,50.2014274385408,50.722947761194,51.3144980370163,51.9662765544401,52.3990860624524,52.565938998071,52.7300972363399,52.8906973156433,53.0438327444966,53.1946101343555,53.3402984486191,53.4808365139949,53.6142645112119,53.7056083247625,53.7519451910835,53.7526992391677,53.7131496505743
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Norway,NOR,49.5267859250152,49.5512976579397,49.5580638096191,49.5653718692,49.5776713817568,49.5970857901559,49.6466811282433,49.7483956627103,49.8584506235932,49.9279280062801,49.9828109505187,50.0667297727837,50.1611856891017,50.227962149859,50.2805705729728,50.3279929160929,50.3638245499457,50.3841670279562,50.3911473706403,50.4093746792192,50.4312303769685,50.4450935874578,50.4588339403705,50.4705390219131
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Oman,OMN,57.3217566533988,57.107375267039,56.9005420486017,56.7134397104787,56.7533127704948,56.9960066666879,57.2293586508733,57.4534290209924,57.6678556393972,57.8713470843959,59.2975015909566,61.5417525499942,63.3604849446159,64.4424473626293,64.6346077724432,64.7553924637194,65.1725870665997,65.1917917220589,64.5786918377269,63.5422206811206,62.0853462352745,61.0946956633501,60.8678455817344,60.6967468667535
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Pakistan,PAK,51.6590602195283,51.6353734907923,51.6213058862819,51.6113246020954,51.5969751176423,51.5805045827917,51.5584608577266,51.5290629788164,51.4949826671806,51.4577877288446,51.4194760359825,51.3824854720784,51.3496411461585,51.3197108086829,51.2913157154286,51.1845605136345,50.9985217644935,50.8379986094349,50.7156842101809,50.6128272198787,50.535778151853,50.4817559642291,50.4445879841117,50.4215586112
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Palau,PLW,54.5827841427558,54.4886019770022,54.3247191577251,54.1599597585513,53.9709649871904,53.7844788462508,53.6367806717977,53.4854900340804,53.3451994555544,53.1870816955275,53.0204962243797,52.8344298245614,52.6579739217653,52.7323785453524,53.0624859518993,53.1302686298752,52.9355635383925,52.7499018893312,52.5582176444245,52.349854878321,52.1756064989984,52.0417221482468,51.9302132373304,51.8274448997674
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Panama,PAN,50.2415772765781,50.2326345693467,50.2246082172644,50.216934330062,50.2093077105464,50.2012179554659,50.191876500821,50.1807021419076,50.1675690274531,50.1530760030713,50.1382734433578,50.124001199347,50.1113223335505,50.1007181368008,50.0918408359612,50.0841399216952,50.0772414423436,50.0702015569585,50.0620730303427,50.052805271171,50.0389344624948,50.0204423217422,50.0027106227605,49.9894473854247
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Papua New Guinea,PNG,52.2280116703947,52.1913616048044,52.1760188548477,52.1602927607708,52.143801704897,52.1278023172829,52.1151000332875,52.1053693173855,52.0932509272921,52.0769436694936,52.0604768207484,52.037977428693,52.0072584156695,51.9734278545464,51.9379316512828,51.8991787080056,51.8574824233589,51.816639670268,51.7767334849929,51.7345584787863,51.6887392765271,51.6399470643414,51.5874055803536,51.5332290215685
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Paraguay,PRY,50.5288145424341,50.5165554679508,50.501767517032,50.4818751361321,50.4589274939978,50.4368912362116,50.416094892654,50.3968322825258,50.3794408933123,50.3632745493526,50.3482032856078,50.3344918555789,50.3219477178516,50.3102410862301,50.2987905701148,50.286891282707,50.2743347086106,50.2616356096324,50.249281116839,50.2361552618627,50.2211538679453,50.1993720277115,50.173432295925,50.1550675913981
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Peru,PER,49.8617397274803,49.8709619936162,49.8847811500359,49.9020303155943,49.9215653193989,49.9429873600162,49.9655474679292,49.9877886267763,49.9476969963221,49.8497862377085,49.762901078401,49.6909072448308,49.632399963576,49.585421312809,49.5543463188697,49.5432823466294,49.5557784931438,49.5675497601904,49.565177482609,49.5605510713358,49.5407682914716,49.5176531865742,49.5074595322563,49.5015198069183
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Philippines,PHL,50.532670556126,50.547801633751,50.563908192711,50.5773789724603,50.5894034147162,50.6022391282297,50.615041199083,50.616686029738,50.5947223745288,50.5588817001646,50.5430546500459,50.5581411131462,50.5831021009123,50.6069356575515,50.6289624828872,50.6538023639694,50.6809737197711,50.7048098792394,50.7254402174856,50.7435459520661,50.7598262559029,50.7703692247883,50.7786268745174,50.7884691942298
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Poland,POL,48.5501162190918,48.5912036206735,48.5743234564658,48.5577203037342,48.5404332392425,48.5211664865154,48.4965501625943,48.4687505078284,48.4479328415771,48.4376655496127,48.4320647584305,48.4248830689808,48.4168021673762,48.4103688745509,48.4058445893968,48.401142153224,48.3947765854419,48.3902991559505,48.3888317100778,48.3868474658944,48.3762619519133,48.3566787545677,48.4120827018594,48.4557220656808
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Portugal,PRT,48.2264573046337,48.2493668661206,48.2247097425978,48.1727994420884,48.1312613543065,48.0939323777726,48.0582556039024,48.0183759465077,47.961347552585,47.8913014147498,47.8261354098697,47.7530628521473,47.6718684869141,47.5880008046225,47.4988691795412,47.423142395857,47.3736476619542,47.3254698264279,47.2557820412086,47.2085165263141,47.1915167244891,47.1786628374857,47.1836403263016,47.1989991807842
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Puerto Rico,PRI,48.1460936038387,48.1276866578935,48.1082538693888,48.08789563439,48.0662618675166,48.0427973919206,48.0178470122712,47.9918632000509,47.9643093139565,47.9358181558993,47.9039366613931,47.8684932931775,47.8314308302816,47.7914356166415,47.7466074533498,47.6941728487548,47.6327947936634,47.5644960444486,47.4851541107394,47.3977697989636,47.31198900587,47.2350053500768,47.1693425822783,47.1108304292163
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Qatar,QAT,67.16057448327,67.2915644689179,67.3770937735738,67.4378277278648,67.1909124447421,68.2657209176279,71.6800977282131,74.7922912136038,76.4325679907663,76.6057826183619,75.7492249799242,74.8753859805972,74.2628275767975,74.0505654381894,74.592824903532,75.2588967076166,75.3527905344013,74.9160598947914,74.2607162529656,73.2370464175603,72.6489601993925,72.6750079513138,72.5100014025339,72.3178290606912
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Romania,ROU,48.4414282270575,48.396767716064,48.3728243503185,48.3788240201254,48.3951035276618,48.4136885447669,48.4296369848185,48.4395998308927,48.4414570927706,48.4349749671631,48.425983875948,48.4219633897346,48.4203846846406,48.4178193895452,48.4165653289015,48.4209070003188,48.4292715056506,48.429378096278,48.4195648006101,48.4060021682822,48.37890451608,48.3480352390452,48.3715084595982,48.3959582989072
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Russian Federation,RUS,46.7027840181704,46.656778964729,46.6015149542823,46.5328139912484,46.4512719305526,46.3646712665585,46.2914211935371,46.2524420373378,46.235144716503,46.2299537879181,46.2396552857855,46.2625036931203,46.2931506999244,46.3260835367172,46.353735005292,46.3739746213667,46.3926766523769,46.4126710035499,46.4323826333445,46.4498779715861,46.4526938273947,46.4447825266998,46.4424724597213,46.4453153203442
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Rwanda,RWA,48.1416435953242,48.0283722852584,47.9515798873094,47.9741227582846,48.0537720546511,48.1262475351193,48.19112398984,48.2500361224332,48.3035977524423,48.3523314081203,48.3966921818355,48.436134410243,48.4831463679994,48.5411233768866,48.595468283234,48.6455118496939,48.6925084186866,48.7356809978857,48.778428459804,48.820244100753,48.8587260871106,48.8953629684038,48.9307307164605,48.963577258176
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Samoa,WSM,52.0200208686579,51.9700318007869,51.9080533676258,51.8320529236022,51.7570305147469,51.6842853053132,51.6181836423257,51.5592351872657,51.5040122636049,51.4546320453887,51.4069820004931,51.3590457904467,51.313823665987,51.2706375444511,51.2279623507487,51.186563901538,51.1467131125209,51.1096662332033,51.0722409525944,51.0356055779713,51.0094031052115,50.9910222888592,50.9820938745042,50.9830247118721
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,San Marino,SMR,48.9132460947694,48.9409182366929,48.9363223568951,48.9423446732632,48.967105489293,49.0036600244002,49.0470309422878,49.0550507045963,49.0293159609121,49.009948807109,48.9433054922804,48.7182643483613,48.5814318483641,48.6285113414451,48.6417682470275,48.6386654751266,48.628598451262,48.6375381724219,48.6766600304485,48.7155480133419,48.7046784485547,48.6560971995851,48.6631016042781,48.6921110516616
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Sao Tome and Principe,STP,49.8350891353661,49.8441110913591,49.8568482591547,49.8699288510815,49.8779304615814,49.8824839188521,49.8814300799517,49.8813624186759,49.8839107146962,49.8854756130423,49.8841537735124,49.8962610995248,49.9110170383943,49.9176803934826,49.9217709636096,49.9244247330005,49.9276750459361,49.9264550366283,49.9219282307518,49.9177535776029,49.9046381968615,49.8886184655793,49.875538745712,49.8589641846663
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Saudi Arabia,SAU,57.1635218929068,57.1578084852125,57.1447060490205,57.1107743919693,57.0104575271678,56.9736979521465,57.050621147254,57.1338301098315,57.2219375535242,57.3101753252911,57.3410468929121,57.3000547744026,57.2472182849509,57.2033165856153,57.1636501074347,57.3257866723534,57.7302643293222,57.990086427323,58.0713283600813,58.1569164930424,58.0236961820293,57.7636085010023,57.6212934118711,57.5043240964597
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Senegal,SEN,49.3253033427391,49.2966360425465,49.2750578285916,49.2563709784385,49.2390985027981,49.2249493510012,49.2116625309953,49.1979803645302,49.1838618760375,49.1696329709425,49.1552715253109,49.1406800933218,49.1259676569376,49.1092610634967,49.0980871717359,49.0958633079368,49.0979812296578,49.1049653468681,49.115882474819,49.1264645144509,49.1413180239619,49.162734227978,49.1789223067616,49.1888128257338
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Serbia,SRB,48.2741698762776,48.2485207683505,48.2259902844906,48.2144638903536,48.2097109454631,48.1972671494011,48.1764234375978,48.1493454516488,48.1235936113277,48.098031304232,48.0715330580521,48.0481354083589,48.0275445078939,48.0073548807957,47.9896367425066,47.9762207467096,47.9649387558572,47.9586276001758,47.956810349675,47.9521165628256,47.9382794656976,47.9268289841709,47.9309105688468,47.9446647448335
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Seychelles,SYC,50.279790157382,50.3777903571165,50.4494559217789,50.5526844674132,50.6958625981231,50.827288287554,50.9570229524761,51.0919898103595,51.2371157021106,51.3885532242118,51.5577487041305,51.7441674571285,51.9247919923617,52.0813946274583,52.1974265568719,52.2843611446997,52.3659808174474,52.4461993301313,52.5290734328474,52.6180142373986,52.6741211030039,52.6904039597637,52.6475475643683,52.5496934794724
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Sierra Leone,SLE,49.6476382216927,49.675917461792,49.705872224988,49.738502276343,49.7719727129907,49.8068563276415,49.8429887289936,49.8770786388587,49.9064992464118,49.9333210007537,49.9577267723295,49.9799845290315,50.0004345528753,50.0182990064838,50.0342123896185,50.0484430617327,50.0604023558854,50.0713963346452,50.0801714122673,50.087487889638,50.0945230550998,50.1011858835925,50.1084511484109,50.1153326571944
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Singapore,SGP,51.0967282925161,51.0108006212547,50.8617135535054,50.7124126298116,50.56134072655,50.5448901714919,50.7865339836575,51.1319129809729,51.4518016485608,51.7482772879819,51.9712448122333,52.0761760642745,52.1236088797539,52.1687350711156,52.2118473344054,52.2437273651164,52.2578783749739,52.2640089222163,52.2688736867613,52.2734621970355,52.2856259588834,52.3053966800537,52.2966640332186,52.2590150868128
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Sint Maarten (Dutch part),SXM,48.8274459641182,48.7220815104766,48.616471511742,48.495644006866,48.3613391482812,48.2091827014669,48.0495394964323,47.890216579537,47.7138279516884,47.5322772639868,47.3542410849428,47.2695067399201,49.6627678647656,52.0439292251373,52.3657289002558,52.6228081084442,52.870894403328,52.8878065086073,52.9351891303319,53.1619357840856,53.3664977877628,53.5216384360383,53.53480475382,53.4575550630908
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Slovak Republic,SVK,48.5844822744105,48.5743210769325,48.5772638295165,48.5795002061635,48.5868376728929,48.5971055618404,48.6057611393216,48.6147134956201,48.6237084782397,48.6395433895362,48.658593172071,48.6775637276315,48.6991159456808,48.7152196994167,48.7278231903681,48.7473739244059,48.7718098550174,48.7930967601859,48.8127312734486,48.8283665118913,48.8331826617682,48.8265338527526,48.8626555408542,48.8912805237577
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Slovenia,SVN,48.6501046444181,48.6857164763249,48.7349572807694,48.8053499251789,48.880665410608,48.9630273277141,49.0483568984441,49.13032583064,49.2141474597512,49.305966333232,49.4005940833729,49.4581091896063,49.4839935554767,49.5079073564907,49.531860792504,49.6062208834608,49.7249308619056,49.8419742355099,49.958925393319,50.0767428289352,50.1972241753914,50.2579491462247,50.2685103243446,50.289596282449
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Solomon Islands,SLB,51.6696203061552,51.6170710384995,51.5671310675304,51.5196784153195,51.4751422787922,51.4329949470037,51.393105405022,51.3571625325245,51.3233501485462,51.2919806075028,51.2633374907938,51.2377171897038,51.2145032346243,51.194697483537,51.1782381251308,51.1627982894264,51.1488579880338,51.136981576486,51.126205728033,51.1162337979801,51.1061341944557,51.095922729501,51.0717643761399,51.0345423703175
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Somalia,SOM,49.9777388317215,49.9984069669235,50.0177503104578,50.0351035187447,50.0500427285632,50.0640280217653,50.0765926813169,50.0866065868136,50.0950906388627,50.1047950658638,50.1104172908015,50.1139697615676,50.118815214328,50.1224393570582,50.1252250786766,50.1267881370303,50.126927126555,50.1264882969649,50.1271356855003,50.1296828167921,50.1328111431954,50.1338219894184,50.1346014217579,50.1368598504645
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,South Africa,ZAF,47.4681194001717,47.5289899066507,47.589300247575,47.6579081244888,47.7315843779864,47.8063176545138,47.8791780998839,47.9479596946113,48.0128510543843,48.0741440344303,48.1366129727223,48.2023365223315,48.266768410888,48.3281482349356,48.4211628193332,48.5989907314173,48.5945763192742,48.4899059975927,48.5220197163794,48.5615047965506,48.605182615869,48.6504646102425,48.6994724085773,48.749850511868
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,South Sudan,SSD,48.5074839233029,48.5993984453034,48.6878598884252,48.7771451355457,48.867012941434,48.9531694893179,49.035527292613,49.1116527396691,49.1810186167367,49.2430731197748,49.3060161395139,49.3630217562152,49.4075561009359,49.4455850159251,49.4552354154233,49.4554951587411,49.456751042937,49.4414736561225,49.437810001011,49.4573620557931,49.4810454273702,49.5017617715666,49.5231080555556,49.5446033996838
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Spain,ESP,48.9820380622278,48.9854209969377,49.0332975670876,49.1149997383394,49.2003429449382,49.2895036219674,49.3494482600625,49.4117219589663,49.4615757227573,49.4514034446167,49.4112053282978,49.3651917925807,49.3007155732168,49.2251251135672,49.1671489518967,49.1292153476848,49.0957100865303,49.0605478212878,49.0323066252952,49.0181741367512,49.0094409007283,49.0065783357043,49.0112141581875,49.0163853976298
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Sri Lanka,LKA,49.7771001648828,49.6858264480828,49.5684539562037,49.454198738239,49.3459072300659,49.2437226115091,49.1393712936018,49.0282342119031,48.9120803318879,48.789938834058,48.6718932531187,48.5682014394904,48.496239760801,48.4481791290795,48.4026875075008,48.3622746294799,48.3241273223385,48.2879727461247,48.2557571090108,48.2264297496719,48.1977845901459,48.1783931166415,48.1617860418008,48.1397079938369
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Kitts and Nevis,KNA,49.6579485713029,49.6999086678554,49.6909043748919,49.6414033727467,49.5813653928725,49.5216693418941,49.4517216367282,49.3778581303839,49.3065569598779,49.2365605041661,49.1741029048794,49.1393623505181,49.1084710960253,49.0443192999351,48.9694281110716,48.8805189370161,48.7904913367373,48.6972899445433,48.6086974728335,48.5181924882629,48.4278577725536,48.3447464605302,48.2846171601234,48.2336928070359
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Lucia,LCA,49.4238244514107,49.4383351806419,49.4817644113993,49.5323434347151,49.5814027119016,49.6281426481081,49.6690094311287,49.7164483816665,49.7722095671982,49.8279194757437,49.8610582970135,49.8655203462197,49.853284351101,49.8304383312833,49.7992036795497,49.7662606833957,49.7304620407793,49.6892692040663,49.6464067278287,49.6027057446677,49.5578479889755,49.5070998769837,49.4548446821642,49.4077702758931
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Martin (French part),MAF,48.7943262411348,48.6293480764801,48.4724005134788,48.313445457108,48.1664984555158,48.018055721631,47.8541965304391,47.711181815576,47.5816662446189,47.4565482121112,47.3832903615119,47.3892709766162,47.4213068339533,47.4648559162715,47.5284308442755,47.5699600228441,47.5797879980466,47.5765306122449,47.5599669148056,47.5498928172459,47.5440051608147,47.5397520971579,47.532320468057,47.5169124294666
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,St. Vincent and the Grenadines,VCT,50.9625438218833,50.9859997712093,51.0022036139268,51.0238002616968,51.0567632850242,51.0919914675616,51.1204645193714,51.1450588320219,51.1657420501106,51.1826292789512,51.2011929593442,51.2184576322641,51.2319236142594,51.2359236854351,51.2318542352589,51.2180462425574,51.2046657795646,51.1857052174819,51.1545293072824,51.1189051122717,51.0685067665724,50.9996932868152,50.9177665755955,50.8331886825204
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Sudan,SDN,50.3133321086881,50.2842831512362,50.2558149673863,50.2252174670972,50.1849709779738,50.1400497356568,50.1100386879385,50.0934800026533,50.0779457731192,50.0649732890962,50.0558788898603,50.048059792867,50.0389820281076,50.0270514297247,50.0133434243402,50.0028712763332,49.9955012002006,49.9896484321418,49.9849341862636,49.9805595810501,49.9756753335236,49.9695951582841,49.9635257806191,49.9583570693604
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Suriname,SUR,50.281003260974,50.356795528874,50.4289178600106,50.4934693715511,50.4966978212671,50.4455464724342,50.3973962833055,50.3523087588503,50.3097737939611,50.2697287156913,50.229453559918,50.1879937552749,50.148447172695,50.1114466430356,50.0763583894173,50.0443981059125,50.0052454798582,49.9585573533892,49.9130053982129,49.8811429599484,49.8556167790928,49.8196530094537,49.7742864539512,49.7254651528474
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Sweden,SWE,49.4423372764623,49.4667602139568,49.496751740867,49.5265416326229,49.5565489368758,49.5878802501796,49.6217730607611,49.6630283343838,49.708422257836,49.7543222734008,49.8018968571785,49.8508353095912,49.9031026308429,49.9582026280214,50.0127109410939,50.0679892650773,50.124064168759,50.1802014080068,50.2347598938744,50.2863773215262,50.3333262930963,50.3722665415253,50.3975743711909,50.4129725296233
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Switzerland,CHE,48.8667107858624,48.8669721221255,48.8848316768547,48.9142894246943,48.9428816725196,48.9740840432743,49.0076401235584,49.0671718971761,49.1503331636618,49.2074438822379,49.2470439191888,49.2906569626881,49.3392980110154,49.3921084441396,49.4361177514179,49.4761723755369,49.5331365555869,49.5754042950242,49.5853746708237,49.5967856664756,49.6145040876354,49.635110820965,49.6590458730375,49.6856821599176
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Syrian Arab Republic,SYR,50.600288674263,50.5859893873415,50.5726775794553,50.5592016878201,50.5500578494578,50.5451243806554,50.5293456790803,50.5029583869588,50.491586150527,50.4903510387489,50.4846298586824,50.4783633682205,50.4554871569967,50.4141293323944,50.3660479811114,50.3176539160429,50.2707304248014,50.2142848902563,50.1584273857198,50.1234211872466,50.1028638935097,50.0888818880298,50.0723313893552,50.0510483181351
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Tajikistan,TJK,49.0928898749848,49.1583616927323,49.2416637431393,49.3232813167854,49.4046642329799,49.4870867906502,49.5718050952636,49.6584701639073,49.7477892048291,49.8385372565339,49.9226492922453,49.9949324448006,50.0590972127784,50.1165595991451,50.1651144054993,50.2049902728312,50.2374698549669,50.2634971052123,50.2855020063251,50.3041286374225,50.3131599262177,50.31908508498,50.3249190402648,50.3260349958589
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Tanzania,TZA,49.4456689855507,49.4464536514722,49.4312038079602,49.4091672885766,49.3810373844666,49.3559110338733,49.3321491723348,49.309250486684,49.2774629979638,49.2127029721802,49.159399091037,49.1455656775134,49.1428800783792,49.1539397400513,49.169991698441,49.2180273602734,49.2873783850028,49.3413372150143,49.3701382170558,49.3772599974356,49.3893396914631,49.4078882456647,49.4229679469285,49.433785996303
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Thailand,THA,49.2692320846899,49.2496499444178,49.2362187878469,49.2223746975699,49.2078398967797,49.1919902596969,49.1744535263182,49.156080512305,49.1363764912966,49.1156662933987,49.0861754337222,49.0481750675849,49.0098944831677,48.9706849815695,48.9300923230837,48.8879277248797,48.8422195085173,48.7941019999351,48.7451728087985,48.6951021026981,48.6451822259392,48.5942374379344,48.5460778500867,48.5029173366118
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Timor-Leste,TLS,51.4001092945945,51.3426076790508,51.3039788311627,51.2679652236218,51.2424563076315,51.2391766127144,51.2494922398156,51.2632411253313,51.2792931675161,51.2981211404546,51.2949178951314,51.2408174120556,51.164215470837,51.0944380593256,51.0308651874109,50.9999477530927,50.9986427800307,50.9983229236629,50.9985774798014,50.9991893398978,50.9980423001627,50.9937605133306,50.9922492872565,50.993976169267
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Togo,TGO,49.8224153784868,49.8399549425062,49.8596431569744,49.8798100203265,49.902555479408,49.9272270084882,49.953628043798,49.9803639068269,50.0079710957782,50.0348199862971,50.0612992830791,50.0890693754268,50.1159798372514,50.1411648850607,50.1641447766946,50.1852813556228,50.2047418772191,50.2222075070087,50.2367622717397,50.2483048234073,50.2578950984178,50.2644760237594,50.2698193259823,50.2760443433745
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Tonga,TON,50.8191768271883,50.7964344540258,50.7803167507996,50.7738722344603,50.7664038996154,50.7587590999025,50.7514831905076,50.688309983308,50.5639097744361,50.4470618980064,50.352476649004,50.2560147196848,50.1590668080594,50.0583626703023,49.9568585523231,49.8624224948644,49.7734303310093,49.6921690461509,49.6138849262958,49.5412144715153,49.4926558610599,49.4637652451965,49.4562877837878,49.471574513097
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Trinidad and Tobago,TTO,49.5166277211506,49.5075704092511,49.4912939722013,49.4729407453596,49.4550284607676,49.4341069700345,49.4191016319769,49.4098685716473,49.396145757871,49.3762092391401,49.3553126435869,49.3395867663836,49.3290230477699,49.3182270919791,49.3039379979196,49.28169667102,49.2555110152246,49.2385062427001,49.411879639186,49.4683724189203,49.3479221709097,49.3417615816861,49.3186348661436,49.2794166796422
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Tunisia,TUN,50.1394881150061,50.0978127032554,50.0546581470953,50.0088583273869,49.9568072015526,49.9140286459517,49.8845525536273,49.8547549500751,49.8260174263463,49.7972368502066,49.7672110753283,49.7497672337655,49.7308352505906,49.6977244111741,49.664422307285,49.6308503562839,49.5958852840835,49.5602273151553,49.5238640343229,49.4860039335019,49.4405932448881,49.3930577530065,49.3550846111282,49.3250682701698
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Turkiye,TUR,50.2951380930461,50.2894331631148,50.2829266293818,50.2749945425514,50.2666272774648,50.2582872223544,50.2502416153438,50.2428540466571,50.2357070790334,50.2286244916435,50.2220202664527,50.2148385063017,50.2070720020111,50.2004169263375,50.1944788995678,50.1876813222601,50.1786905490801,50.1693839623926,50.1607150326973,50.151060680568,50.1369922311443,50.1204677243414,50.1075781168919,50.0969682891688
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Turkmenistan,TKM,49.2396148765236,49.2536073702065,49.2675200171612,49.2796998017226,49.2896166473574,49.3004896868972,49.3119842455504,49.323368811362,49.3381970450285,49.3564219892194,49.3763821737785,49.3976191288967,49.4207942503337,49.4442810779312,49.4638851296946,49.4801030308002,49.4966994464231,49.5119197276716,49.5227422092356,49.529440992982,49.5350405843558,49.5395905456684,49.5408792415216,49.5397400285447
